,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
T2M_x_RH,0.02525,0.02643,0.02564,1,1,1
CLOUD_anom,0.0161,0.00761,0.01529,2,5,2
GHI_anom,0.00856,0.01203,0.00927,3,2,3
GHI_lag12,0.00765,0.00629,0.00638,4,6,5
GHI_lag1,0.00662,0.00859,0.00759,5,4,4
sin_month,0.00567,0.00977,0.00617,6,3,6
GHI_x_CLOUD,0.00498,0.00381,0.00384,7,9,10
cos_month,0.00454,0.00269,0.00449,8,12,9
ONI_x_CLOUD_anom,0.00426,0.00496,0.00467,9,8,8
ONI_lag2,0.00348,0.00522,0.00347,10,7,11
PRECTOT_anom,0.00336,0.00359,0.00507,11,10,7
ONI,0.00236,0.00349,0.00235,12,11,12
